Date : 2025-03-15 17:07:45
Directory : c:\Users\User\Documents\dev\solar_energy_iofy
Total : 99 files,  9881 codes, 568 comments, 1355 blanks, all 11804 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend\src\tests                                                                                         |          6 |        781 |          4 |        108 |        893 |
| backend\src\tests (Files)                                                                                 |          2 |         77 |          4 |          8 |         89 |
| backend\src\tests\controllers                                                                             |          4 |        704 |          0 |        100 |        804 |
| backend\src\types                                                                                         |          1 |         12 |          0 |          2 |         14 |
| backend\src\utils                                                                                         |          1 |         23 |          0 |          1 |         24 |
| contracts                                                                                                 |         20 |      2,106 |        272 |        443 |      2,821 |
| contracts (Files)                                                                                         |          5 |        206 |          0 |         34 |        240 |
| contracts\contracts                                                                                       |          5 |        415 |        100 |         90 |        605 |
| contracts\scripts                                                                                         |          3 |        290 |         57 |         55 |        402 |
| contracts\test                                                                                            |          7 |      1,195 |        115 |        264 |      1,574 |
| frontend                                                                                                  |         45 |      4,161 |        112 |        372 |      4,645 |
| frontend (Files)                                                                                          |          5 |        102 |          6 |          3 |        111 |
| frontend\src                                                                                              |         40 |      4,059 |        106 |        369 |      4,534 |
| frontend\src (Files)                                                                                      |          1 |        102 |         30 |         23 |        155 |
| frontend\src\app                                                                                          |         27 |      2,693 |         48 |        214 |      2,955 |
| frontend\src\app (Files)                                                                                  |          4 |        113 |          0 |         16 |        129 |
| frontend\src\app\api                                                                                      |          3 |         93 |          2 |         17 |        112 |
| frontend\src\app\api\v1                                                                                   |          3 |         93 |          2 |         17 |        112 |
| frontend\src\app\api\v1\auth                                                                              |          3 |         93 |          2 |         17 |        112 |
| frontend\src\app\api\v1\auth\login                                                                        |          1 |         30 |          1 |          6 |         37 |
| frontend\src\app\api\v1\auth\me                                                                           |          1 |         33 |          0 |          5 |         38 |
| frontend\src\app\api\v1\auth\register                                                                     |          1 |         30 |          1 |          6 |         37 |
| frontend\src\app\auth                                                                                     |          3 |        292 |          3 |         16 |        311 |
| frontend\src\app\auth\login                                                                               |          1 |         51 |          1 |          4 |         56 |
| frontend\src\app\auth\register                                                                            |          1 |        159 |          0 |          7 |        166 |
| frontend\src\app\auth\signup                                                                              |          1 |         82 |          2 |          5 |         89 |
| frontend\src\app\dashboard                                                                                |         17 |      2,195 |         43 |        165 |      2,403 |
| frontend\src\app\dashboard (Files)                                                                        |          2 |        297 |          3 |         21 |        321 |
| frontend\src\app\dashboard\investor                                                                       |          5 |        200 |          8 |         26 |        234 |
| frontend\src\app\dashboard\investor (Files)                                                               |          1 |        132 |          4 |          6 |        142 |
| frontend\src\app\dashboard\investor\portfolio                                                             |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\investor\projects                                                              |          2 |         34 |          2 |         10 |         46 |
| frontend\src\app\dashboard\investor\projects (Files)                                                      |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\investor\projects\[id]                                                         |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\investor\transactions                                                          |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\iot                                                                            |          1 |        270 |          1 |         19 |        290 |
| frontend\src\app\dashboard\owner                                                                          |          5 |        374 |         11 |         31 |        416 |
| frontend\src\app\dashboard\owner (Files)                                                                  |          1 |         82 |          4 |          6 |         92 |
| frontend\src\app\dashboard\owner\dividends                                                                |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\owner\iot                                                                      |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\owner\panels                                                                   |          2 |        258 |          5 |         15 |        278 |
| frontend\src\app\dashboard\owner\panels (Files)                                                           |          1 |         17 |          1 |          5 |         23 |
| frontend\src\app\dashboard\owner\panels\register                                                          |          1 |        241 |          4 |         10 |        255 |
| frontend\src\app\dashboard\panels                                                                         |          1 |        511 |          4 |         39 |        554 |
| frontend\src\app\dashboard\portfolio                                                                      |          1 |        192 |          4 |          8 |        204 |
| frontend\src\app\dashboard\projects                                                                       |          1 |        131 |          2 |          7 |        140 |
| frontend\src\app\dashboard\tokens                                                                         |          1 |        220 |         10 |         14 |        244 |
| frontend\src\components                                                                                   |          6 |        905 |         15 |         78 |        998 |
| frontend\src\components\auth                                                                              |          1 |        210 |          4 |         24 |        238 |
| frontend\src\components\iot                                                                               |          3 |        495 |          3 |         26 |        524 |
| frontend\src\components\layout                                                                            |          2 |        200 |          8 |         28 |        236 |
| frontend\src\context                                                                                      |          1 |         34 |          0 |          7 |         41 |
| frontend\src\hooks                                                                                        |          1 |        193 |         13 |         30 |        236 |
| frontend\src\pages                                                                                        |          3 |        124 |          0 |         17 |        141 |
| frontend\src\pages\iot                                                                                    |          3 |        124 |          0 |         17 |        141 |
| frontend\src\pages\iot\devices                                                                            |          3 |        124 |          0 |         17 |        141 |
| frontend\src\types                                                                                        |          1 |          8 |          0 |          0 |          8 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                  | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\package.json                                        | JSON               |         60 |          0 |          1 |         61 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\prisma\migrations\20250312164241_init\migration.sql | MS SQL             |         50 |          9 |         13 |         72 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\config\database.ts                              | TypeScript         |         19 |          0 |          1 |         20 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\config\index.ts                                 | TypeScript         |         38 |          3 |          5 |         46 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\config\prisma.ts                                | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\auth.controller.ts                  | TypeScript         |        255 |         22 |         47 |        324 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\dashboard.controller.ts             | TypeScript         |        111 |          8 |         13 |        132 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\iot.controller.ts                   | TypeScript         |        306 |         15 |         40 |        361 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\panel.controller.ts                 | TypeScript         |        557 |         37 |         95 |        689 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\token.controller.ts                 | TypeScript         |        235 |         14 |         44 |        293 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\IoTData.ts                             | TypeScript         |         25 |          0 |         10 |         35 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\ShareToken.ts                          | TypeScript         |         35 |          0 |          9 |         44 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\SolarPanel.ts                          | TypeScript         |         31 |          0 |         12 |         43 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\User.ts                                | TypeScript         |         27 |          0 |          9 |         36 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\index.ts                                        | TypeScript         |         49 |          6 |         11 |         66 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\middleware\auth.middleware.ts                   | TypeScript         |         75 |          0 |         14 |         89 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\middleware\validate-request.ts                  | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\auth.routes.ts                           | TypeScript         |         77 |          7 |          9 |         93 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\dashboard.routes.ts                      | TypeScript         |         20 |          2 |          4 |         26 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\index.ts                                 | TypeScript         |         16 |          2 |          4 |         22 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\iot.routes.ts                            | TypeScript         |        159 |         10 |         12 |        181 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\panel.routes.ts                          | TypeScript         |         75 |          7 |          9 |         91 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\token.routes.ts                          | TypeScript         |         90 |          7 |          9 |        106 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\scripts\generate-types.ts                       | TypeScript         |         54 |         12 |         11 |         77 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\services\blockchain.service.ts                  | TypeScript         |        390 |         19 |         43 |        452 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\auth.controller.test.ts       | TypeScript         |        135 |          0 |         21 |        156 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\iot.controller.test.ts        | TypeScript         |        186 |          0 |         28 |        214 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\panel.controller.test.ts      | TypeScript         |        158 |          0 |         22 |        180 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\token.controller.test.ts      | TypeScript         |        225 |          0 |         29 |        254 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\jest.config.ts                            | TypeScript         |         18 |          0 |          2 |         20 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\setup.ts                                  | TypeScript         |         59 |          4 |          6 |         69 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\types\auth.ts                                   | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\utils\logger.ts                                 | TypeScript         |         23 |          0 |          1 |         24 |
| c:\Users\User\Documents\dev\solar_energy_iofy\backend\tsconfig.json                                       | JSON with Comments |         28 |          0 |          0 |         28 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\README.md                                         | Markdown           |         84 |          0 |         29 |        113 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\DividendDistributor.sol                 | Solidity           |        105 |         12 |         28 |        145 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\MockERC20.sol                           | Solidity           |         14 |          5 |          3 |         22 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\ShareToken.sol                          | Solidity           |         89 |         10 |         21 |        120 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\SolarPanelFactory.sol                   | Solidity           |         73 |         32 |         15 |        120 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\SolarPanelRegistry.sol                  | Solidity           |        134 |         41 |         23 |        198 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\coverage.json                                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\hardhat.config.ts                                 | TypeScript         |         61 |          0 |          4 |         65 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\package.json                                      | JSON               |         48 |          0 |          1 |         49 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\scripts\deploy.js                                 | JavaScript         |        149 |         23 |         27 |        199 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\scripts\update-addresses.js                       | JavaScript         |         87 |         19 |         18 |        124 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\scripts\verify-contract.js                        | JavaScript         |         54 |         15 |         10 |         79 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\DividendDistributor.test.ts                  | TypeScript         |        169 |         33 |         50 |        252 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\Integration.test.js                          | JavaScript         |        211 |         47 |         53 |        311 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\MockERC20.test.ts                            | TypeScript         |         88 |          0 |         25 |        113 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\README.md                                    | Markdown           |         50 |          0 |         21 |         71 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\ShareToken.test.ts                           | TypeScript         |        157 |         17 |         44 |        218 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\SolarPanelFactory.test.js                    | JavaScript         |        199 |         14 |         30 |        243 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\SolarPanelRegistry.test.ts                   | TypeScript         |        321 |          4 |         41 |        366 |
| c:\Users\User\Documents\dev\solar_energy_iofy\contracts\tsconfig.json                                     | JSON with Comments |         12 |          0 |          0 |         12 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\next-env.d.ts                                      | TypeScript         |          0 |          5 |          2 |          7 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\package.json                                       | JSON               |         42 |          0 |          1 |         43 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\postcss.config.js                                  | JavaScript         |          6 |          0 |          0 |          6 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\api\v1\auth\login\route.ts                 | TypeScript         |         30 |          1 |          6 |         37 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\api\v1\auth\me\route.ts                    | TypeScript         |         33 |          0 |          5 |         38 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\api\v1\auth\register\route.ts              | TypeScript         |         30 |          1 |          6 |         37 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\auth\login\page.tsx                        | TypeScript JSX     |         51 |          1 |          4 |         56 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\auth\register\page.tsx                     | TypeScript JSX     |        159 |          0 |          7 |        166 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\auth\signup\page.tsx                       | TypeScript JSX     |         82 |          2 |          5 |         89 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\investor\page.tsx                | TypeScript JSX     |        132 |          4 |          6 |        142 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\investor\portfolio\page.tsx      | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\investor\projects\[id]\page.tsx  | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\investor\projects\page.tsx       | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\investor\transactions\page.tsx   | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\iot\page.tsx                     | TypeScript JSX     |        270 |          1 |         19 |        290 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\layout.tsx                       | TypeScript JSX     |         27 |          3 |          5 |         35 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\dividends\page.tsx         | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\iot\page.tsx               | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\page.tsx                   | TypeScript JSX     |         82 |          4 |          6 |         92 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\panels\page.tsx            | TypeScript JSX     |         17 |          1 |          5 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\panels\register\page.tsx   | TypeScript JSX     |        241 |          4 |         10 |        255 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\page.tsx                         | TypeScript JSX     |        270 |          0 |         16 |        286 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\panels\page.tsx                  | TypeScript JSX     |        511 |          4 |         39 |        554 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\portfolio\page.tsx               | TypeScript JSX     |        192 |          4 |          8 |        204 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\projects\page.tsx                | TypeScript JSX     |        131 |          2 |          7 |        140 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\tokens\page.tsx                  | TypeScript JSX     |        220 |         10 |         14 |        244 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\globals.css                                | CSS                |         29 |          0 |          7 |         36 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\layout.tsx                                 | TypeScript JSX     |         26 |          0 |          3 |         29 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\page.tsx                                   | TypeScript JSX     |         44 |          0 |          3 |         47 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\providers.tsx                              | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\auth\AuthForm.tsx                   | TypeScript JSX     |        210 |          4 |         24 |        238 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\iot\DeviceDetails.tsx               | TypeScript JSX     |        229 |          3 |         12 |        244 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\iot\DeviceList.tsx                  | TypeScript JSX     |        122 |          0 |          4 |        126 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\iot\DeviceRegistration.tsx          | TypeScript JSX     |        144 |          0 |         10 |        154 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\layout\DashboardLayout.tsx          | TypeScript JSX     |        179 |          8 |         26 |        213 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\layout\MainLayout.tsx               | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\context\AuthContext.tsx                        | TypeScript JSX     |         34 |          0 |          7 |         41 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\hooks\useAuth.ts                               | TypeScript         |        193 |         13 |         30 |        236 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\middleware.ts                                  | TypeScript         |        102 |         30 |         23 |        155 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\pages\iot\devices\[id].tsx                     | TypeScript JSX     |         65 |          0 |          9 |         74 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\pages\iot\devices\index.tsx                    | TypeScript JSX     |         19 |          0 |          3 |         22 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\pages\iot\devices\register.tsx                 | TypeScript JSX     |         40 |          0 |          5 |         45 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\types\global.d.ts                              | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\tailwind.config.js                                 | JavaScript         |         27 |          1 |          0 |         28 |
| c:\Users\User\Documents\dev\solar_energy_iofy\frontend\tsconfig.json                                      | JSON with Comments |         27 |          0 |          0 |         27 |
| Total                                                                                                     |                    |      9,881 |        568 |      1,355 |     11,804 |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
